,depth,temp
2003-01-06-00-34,50.0,6.4000000000000004
2003-01-06-01-34,50.0,6.4299999999999997
2003-01-06-02-34,50.0,6.5999999999999996
2003-01-06-03-34,50.0,6.6600000000000001
2003-01-06-04-34,50.0,6.6200000000000001
2003-01-06-05-34,50.0,6.5899999999999999
2003-01-06-06-34,50.0,6.5800000000000001
2003-01-06-07-34,50.0,6.5199999999999996
2003-01-06-08-34,50.0,6.4199999999999999
2003-01-06-09-34,50.0,6.3499999999999996
2003-01-06-10-34,50.0,6.3799999999999999
2003-01-06-11-34,50.0,6.46
2003-01-06-12-34,50.0,6.5
2003-01-06-13-34,50.0,6.5
2003-01-06-14-34,50.0,6.5899999999999999
2003-01-06-15-34,50.0,6.5899999999999999
2003-01-06-16-34,50.0,6.5499999999999998
2003-01-06-17-34,50.0,6.4299999999999997
2003-01-06-18-34,50.0,6.3899999999999997
2003-01-06-19-34,50.0,6.2800000000000002
2003-01-06-20-34,50.0,6.21
2003-01-06-21-34,50.0,6.1299999999999999
2003-01-06-22-34,50.0,6.1100000000000003
2003-01-06-23-34,50.0,5.9900000000000002
2003-01-07-00-34,50.0,6.0700000000000003
2003-01-07-01-34,50.0,6.0199999999999996
2003-01-07-02-34,50.0,5.9100000000000001
2003-01-07-03-34,50.0,5.7699999999999996
2003-01-07-04-34,50.0,5.6299999999999999
2003-01-07-05-34,50.0,5.5300000000000002
2003-01-07-06-34,50.0,5.5499999999999998
2003-01-07-07-34,50.0,5.5099999999999998
2003-01-07-08-34,50.0,5.75
2003-01-07-09-34,50.0,5.9299999999999997
2003-01-07-10-34,50.0,5.9199999999999999
2003-01-07-11-34,50.0,6.0300000000000002
2003-01-07-12-34,50.0,5.9900000000000002
2003-01-07-13-34,50.0,6.1399999999999997
2003-01-07-14-34,50.0,6.0899999999999999
2003-01-07-15-34,50.0,6.1399999999999997
2003-01-07-16-34,50.0,6.2300000000000004
2003-01-07-17-34,50.0,6.25
2003-01-07-18-34,50.0,6.2400000000000002
2003-01-07-19-34,50.0,6.2699999999999996
2003-01-07-20-34,50.0,6.25
2003-01-07-21-34,50.0,6.2199999999999998
2003-01-07-22-34,50.0,6.1500000000000004
