emolt_site.SITE, emolt_site.LAT_DDMM, emolt_site.LON_DDMM
"DJ01", 4321.33, 7008.22
"CJ01", 4422.77, 6807.23
"SJ01", 4345.45, 6853.85
"SR03", 4218.49, 7056.66
"SK02", 4207.0, 7024.0
"JT03", 4347.63, 6843.1
"TJ01", 4200.13, 7015.23
"RM01", 4213.15, 7003.66
"RM02", 4209.12, 7018.0
"BS02", 4203.75, 7003.31
"RT01", 4223.55, 7037.5
"TH01", 4357.35, 6858.15
"SJ02", 4342.75, 6850.33
"BP01", 4152.12, 7002.32
"AB01", 4202.21, 7007.88
"NL01", 4435.54, 6704.14
"MF01", 4422.97, 6804.42
"BM01", 4346.9, 6930.9
"NAR2", 4129.4, 7125.0
"TJ02", 4205.56, 7020.12
"RB01", 4428.93, 6716.15
"CC01", 4429.75, 6702.03
"KO01", 4159.1, 7030.7
"BD01", 4219.9, 7052.4
"BL01", 4434.17, 6702.6
"SR04", 4220.31, 7054.29
"TA13", 4002.75, 6900.0
"TA15", 4003.75, 6904.0
"TA16", 4000.0, 6908.35
"TA18", 4021.75, 6940.5
"TA20", 3957.3, 6933.5
"TA21", 4023.5, 7013.0
"WB01", 4131.1, 6710.9
"WB02", 4129.5, 6728.0
"WB03", 4123.7, 6716.5
"WB04", 4059.5, 6626.1
"WB08", 4052.7, 6632.2
"WB10", 4157.5, 6705.2
"GM01", 3956.9, 6956.77
"JS02", 4224.4, 6723.6
"JS03", 4138.7, 6726.8
"MJ02", 4011.1, 6832.3
"MJ03", 4013.0, 6830.0
"MJ05", 4010.7, 6834.8
"MJ07", 4013.0, 6833.1
"MJ08", 4017.3, 6816.8
"JV01", 4036.1, 7043.3
"WB12", 4140.4, 6653.5
"RC01", 3933.1, 7223.1
"JP01", 3945.3, 7257.0
"JP02", 4019.8, 7139.9
"JP03", 4034.8, 7134.9
"WB13", 4056.2, 6631.4
"MG01", 4103.5, 6625.9
"JV02", 4035.66, 7046.7
"JS04", 4234.4, 6731.0
"JS06", 4229.8, 6728.4
"JH01", 4204.1, 7034.0
"WH02", 4132.5, 7040.3
"BN01", 4254.86, 7042.57
"MT04", 4238.0, 7032.3
"MT05", 4236.6, 7029.2
"MT06", 4236.7, 7029.1
"PB02", 3956.2, 6950.0
"JP04", 4002.5, 7218.0
"JP05", 4028.77, 7047.43
"JP06", 4029.07, 7044.88
"JP07", 3952.18, 7226.75
"JP08", 4006.3, 7157.49
"JP09", 3954.95, 7213.58
"JP10", 4015.68, 7140.97
"JP11", 3957.58, 7213.18
"JP13", 3941.0, 7246.75
"JP14", 4011.19, 7154.78
"JP15", 3941.3, 7300.5
"JP17", 4016.4, 7145.5
"TA23", 4021.0, 6920.0
"BM02", 4343.42, 6934.28
"SC01", 4406.1, 6756.1
"SC02", 4414.9, 6809.0
"PF01", 4259.92, 7025.3
"TM01", 4345.5, 6918.3
"TM02", 4348.1, 6917.6
"BA02", 4439.12, 6700.38
"MJ10", 4050.4, 6840.0
"MJ12", 4024.9, 7004.6
"BI02", 4429.1, 6719.64
"BR01", 4344.81, 6936.1
"LB01", 4354.12, 6815.47
"JS07", 4224.13, 6734.07
"PB03", 3955.33, 6943.67
"JV03", 4028.8, 7047.4
"JV04", 4029.1, 7044.9
"JV05", 4027.1, 7032.9
"JA01", 4150.92, 6955.02
"ZW01", 4342.33, 7009.0
"ZW02", 4342.0, 7008.0
"RM04", 4158.6, 7013.3
"MC02", 4231.6, 7039.8
"ET01", 4344.9, 7009.85
"ET02", 4342.19, 7009.94
"BF01", 4407.6, 6809.5
"RN01", 4448.6, 6656.04
"DJ02", 4338.84, 7008.57
"JV06", 4035.3, 7049.2
"JS08", 4239.24, 6726.84
"MP01", 4210.2, 7031.4
"MP02", 4210.9, 7029.9
"DJ03", 4340.32, 7009.57
"SR05", 4219.46, 7054.45
"SR07", 4219.31, 7053.55
"MO01", 4156.4, 7030.2
"EC01", 4121.9, 7045.2
"PM01", 4211.0, 7030.0
"PM03", 4210.0, 7040.0
"DM01", 4346.2, 6902.0
"DM02", 4347.7, 6903.4
"CW01", 4349.6, 6937.4
"GM02", 3955.47, 6941.05
"DS02", 3959.1, 6933.77
"RG01", 4344.1, 6953.2
"RA01", 4415.1, 6811.5
"DC01", 4400.39, 6902.37
"CM01", 4349.9, 6932.16
"DB01", 4406.89, 6827.0
"TB01", 4421.5, 6755.4
"KS01", 4336.56, 7010.82
"WP01", 4352.31, 6906.71
"GS01", 4435.27, 6721.42
"PW01", 4307.89, 7037.04
"JG01", 4159.3, 7035.2
"MP03", 4209.5, 7031.2
"BS01", 4200.12, 7000.29
"WB15", 4038.73, 6703.31
"MB02", 4217.5, 7050.4
"HC02", 4204.6, 7038.1
"BM05", 4347.7, 6932.26
"CD01", 4351.47, 6931.33
"AC01", 4146.44, 7028.86
"SG01", 4344.04, 7008.84
"MP04", 4211.2, 7026.9
"HC01", 4206.3, 7035.6
"TA25", 4002.75, 6856.69
"BM03", 4358.8, 6933.0
"CF01", 4348.2, 6935.5
"CF02", 4348.0, 6936.0
"CF03", 4340.0, 6939.0
"JA02", 4156.4, 6955.2
"BH01", 4219.77, 7054.86
"BH02", 4220.57, 7054.45
"MH01", 4231.06, 7048.93
"PB05", 3955.26, 6925.86
"V020", 4227.63, 7051.62
"V005", 4231.88, 7050.87
"V009", 4231.13, 7043.62
"V028", 4224.38, 7056.62
"V103", 4134.6, 7054.81
"V108", 4128.6, 7100.31
"V130", 4120.6, 7054.81
"V136", 4125.1, 7047.31
"V140", 4122.1, 7100.31
"CP01", 4347.38, 6851.93
"PC01", 4437.1, 6633.0
"test", 4000.0, 7000.0
"BA04", 4444.1, 6706.0
"SR09", 4218.83, 7055.58
"SR10", 4219.43, 7054.27
"BC02", 4430.55, 6707.48
"DMF0", 4220.0, 7052.0
"DMF8", 4219.5, 7058.2
"MA10", 4135.3, 7039.2
"WL01", 4145.75, 7015.59
"OM02", 4354.22, 6856.95
"NL03", 4437.9, 6713.99
"NL04", 4437.77, 6703.77
"AP01", 4347.87, 6936.11
"AP02", 4347.28, 6937.47
"AP03", 4342.32, 6938.42
"SO02", 4126.46, 7120.98
"SO03", 4120.12, 7103.69
"JP19", 3937.2, 7207.1
"IB01", 4521.68, 6058.94
"NM01", 4538.77, 6012.5
"EP01", 4340.8, 6514.42
"TA36", 4028.8, 6954.0
"KM03", 4139.85, 6950.03
"SO06", 4112.93, 7131.7
"OD03", 4438.77, 6714.88
"BI03", 4434.85, 6724.89
"BI04", 4429.25, 6715.1
"TA51", 4019.2, 6855.0
"DD02", 4220.57, 7050.76
"WH01", 4131.7, 7040.7
"MF04", 4415.57, 6804.95
"DMF3", 4154.75, 7029.63
"DMF9", 4145.5, 7025.2
"MA11", 4125.8, 7055.86
"NF12", 4216.8, 6557.0
"NF13", 4222.2, 6556.6
"NF14", 4222.2, 6556.6
"NF15", 4222.2, 6556.6
"NF16", 4217.8, 6558.2
"NF17", 4217.8, 6558.2
"NF18", 4210.6, 6601.8
"NF19", 4210.6, 6601.8
"NF20", 4210.6, 6601.8
"NF21", 4223.6, 6558.5
"NF22", 4223.6, 6558.5
"NF23", 4223.6, 6558.5
"NF24", 4217.6, 6557.9
"NF25", 4210.0, 6601.8
"NF26", 4210.0, 6601.8
"NF27", 4222.1, 6556.5
"NF28", 4222.1, 6556.5
"NF29", 4222.1, 6556.5
"NF30", 4218.2, 6558.0
"NF31", 4218.2, 6558.0
"NF32", 4210.6, 6601.8
"MS01", 4340.16, 7010.2
"MS02", 4339.31, 7006.4
"MS03", 4343.39, 7009.43
"EM01", 4355.83, 6905.78
"EM02", 4349.94, 6900.18
"ID01", 4352.82, 6918.75
"NF43", 4057.36, 6737.56
"ID04", 4356.6, 6924.8
"ID05", 4352.0, 6906.5
"ID06", 4347.1, 6918.2
"CJ03", 4412.31, 6808.32
"HM01", 4350.88, 6933.3
"ON02", 4139.84, 6959.82
"TA47", 4008.8, 6850.0
"OD06", 4433.34, 6720.43
"OD07", 4437.72, 6713.64
"OM03", 4350.68, 6856.9
"OM04", 4349.95, 6856.8
"OM05", 4354.95, 6853.54
"JC02", 4409.53, 6757.1
"ON01", 4137.62, 7007.44
"ON03", 4134.98, 7000.12
"ON04", 4139.36, 7004.44
"ON05", 4137.98, 7008.16
"ON06", 4138.34, 7009.84
"ON07", 4135.0, 7022.8
"ON08", 4137.38, 7007.38
"OD05", 4438.62, 6718.75
"ID02", 4353.87, 6907.74
"ID03", 4351.67, 6927.88
"MS04", 4339.72, 7014.27
"MS05", 4329.14, 7013.2
"MS06", 4333.68, 7009.01
"TA52", 4006.4, 6914.0
"TA53", 4052.0, 6841.5
